,DATE DE CLASSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATÉGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE DE LOGEMENTS (villages de vacances),classement prorogé
17646,29/09/2022,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HOTELS PARIS LA DEFENSE,2261 Boulevard de la Defense,92000,NANTERRE,0,0,368,184,0,0,0,non
17647,23/09/2022,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HOTELS PARIS PORTE DE VERSAILLES,2 rue du colonel Pierre Avia,75015,PARIS 15E ARRONDISSEMENT,0,0,298,149,0,0,0,non
17648,06/10/2023,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HOTELS PARIS ROSA PARKS,202 rue d'Aubervilliers,75019,PARIS 19E ARRONDISSEMENT,www.okkohotels.com,0,272,129,0,0,0,non
17649,13/03/2023,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HOTELS STRASBOURG CENTRE,46 Rue du bassin d'Austrerlitz,67100,STRASBOURG,0,0,240,120,0,0,0,non
17650,21/12/2021,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS BAYONNE,22 boulevard du Bab,64100,BAYONNE,0,0,184,92,0,0,0,non
17651,01/12/2021,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS CANNES CENTRE,6 bis place de la Gare,06400,CANNES,0,0,250,125,0,0,0,non
17652,15/07/2019,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS GARE DE L'EST,30 A Rue d'Alsace,75010,PARIS,0,0,340,170,0,0,0,non
17653,05/12/2019,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS GRENOBLE JARDIN HOCHE,23 rue Hoche,38000,GRENOBLE,0,0,276,138,0,0,0,non
17654,14/06/2021,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS LILLE CENTRE,13 rue d’Amiens,59800,LILLE,0,0,240,120,0,0,0,non
17655,28/01/2020,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS LYON PONT LAFAYETTE,14 bis Quai du Général Sarrail,69006,LYON 6E ARRONDISSEMENT,0,0,170,85,0,0,0,non
17656,21/08/2019,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS NANTES CHÂTEAU,15 bis rue de Strasbourg,44000,NANTES,https://www.okkohotels.com/hotels/nantes,0,160,80,0,0,0,non
17657,20/10/2021,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS NICE AEROPORT,147 boulevard René Cassin,06200,NICE,0,0,270,135,0,0,0,non
17658,03/04/2023,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS PARIS RUEIL MALMAISON,109 Avenue Victor Hugo,92500,0,0,0,220,110,0,0,0,non
17659,22/07/2020,HÔTEL DE TOURISME,4 étoiles,0,0,OKKO HÔTELS TOULON CENTRE,20 rue Peiresc,83000,TOULON,0,0,196,98,0,0,0,non
17660,02/12/2021,HÔTEL DE TOURISME,4 étoiles,0,0,OLIVIER LEFLAIVE HÔTEL RESTAURANTS,10 place du Monument,21190,0,0,0,45,17,0,0,0,non
17661,19/07/2022,RÉSIDENCE DE TOURISME,4 étoiles,0,0,OLYDEA LA REDORTE,Rue de la Pompe Neuve,11700,LA REDORTE,www.olydea.com,0,84,0,0,21,0,non
17662,26/01/2022,HÔTEL DE TOURISME,2 étoiles,0,0,ONELOFT HÔTEL,35 rue du Général Leclerc,67210,OBERNAI,0,0,183,69,0,0,0,non
17663,18/09/2018,CAMPING,3 étoiles,TOURISME,0,ONLYCAMP LES TUILLÈRES,AVENUE DE LA CLAIRETTE,26340,VERCHENY,www.tuilleres.com,0,396,0,99,0,0,oui
17664,28/01/2022,HÔTEL DE TOURISME,3 étoiles,0,0,OSKAR HÔTEL,22 avenue de la Gare,74100,ANNEMASSE,https://www.oskarhotel.fr/,0,108,54,0,0,0,non
17665,03/05/2021,HÔTEL DE TOURISME,3 étoiles,0,0,OSTAL HÔTEL PAU UNIVERSITE,38 rue Ronsard,64000,PAU,0,0,84,40,0,0,0,non
17666,25/05/2023,HÔTEL DE TOURISME,3 étoiles,0,0,OSTAN HÔTEL,1 Place Corniglion Molinier,06450,ROQUEBILLIÈRE,https://www.ostanhotelroquebilliere.com/,0,17,8,0,0,0,non
